bridge: ap=/dev/ttyUSB0 sta=/dev/ttyUSB1 baud=921600 logdir=logs capture=logs/capture_1771139514.sf.bin
bridge: roles ap_role=AP sta_role=STA
bridge: proto_log=logs/proto_1771139514.jsonl
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08580b0000599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08480b0000499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08380b0000399
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08280b0000299
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08180b0000199
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b08080b0000099
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07f80b000ff99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07e80b000fe99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07d80b000fd99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07c80b000fc99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07b80b000fb99
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07a80b000fa99
[TEL] udp src=40000 phone_dst=6000 len=106 cc_type=0x01 head=63630172006300524144434c4f4650565f38333938313900
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07980b000f999
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07880b000f899
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07780b000f799
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07680b000f699
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07580b000f599
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07480b000f499
[CMD] udp dst=40000 phone_src=5010 len=15 op=0x000a head=63630a0000080066b07380b000f399
